id_siniestro;fecha_ocurrencia;fecha_reporte;monto_pagado;monto_reserva;ramo;id_poliza
AUTG-LPZ0000235-2023;2023-11-20;2023-12-04;120.48;120.48;AUTOMOTORES;AUTG-LPZ0000021
AUTC-LPZ0000099-2024;2024-01-01;2024-01-02;668.83;668.83;AUTOMOTORES;AUTC-LPZ0000001
AUTI-SCZ0001013-2023;2023-07-24;2023-07-24;456.56;456.56;AUTOMOTORES;AUTI-SCZ0004174
AUTI-SCZ0000086-2024;2024-01-11;2024-01-11;250.19;250.19;AUTOMOTORES;AUTI-SCZ0003418
AUTI-SCZ0001508-2023;2023-11-28;2023-11-28;341.11;341.11;AUTOMOTORES;AUTI-SCZ0006436
AUTI-SCZ0000086-2024;2024-01-11;2024-01-11;400.86;400.86;AUTOMOTORES;AUTI-SCZ0003418
AUTC-LPZ0002064-2023;2023-12-17;2023-12-17;497.70;497.70;AUTOMOTORES;AUTC-LPZ0000003
AUTI-SCZ0000019-2024;2024-01-03;2024-01-03;955.86;955.86;AUTOMOTORES;AUTI-SCZ0005590
AUTI-SCZ0001706-2023;2023-12-19;2023-12-20;486.37;486.37;AUTOMOTORES;AUTI-SCZ0000668R1
AUTI-SCZ0001289-2023;2023-10-24;2023-10-24;821.70;821.70;AUTOMOTORES;AUTI-SCZ0004442
AUTC-LPZ0000145-2024;2024-01-06;2024-01-06;411.43;411.43;AUTOMOTORES;AUTC-LPZ0000001
AUTI-LPZ0000586-2023;2023-11-04;2023-11-04;221.57;221.57;AUTOMOTORES;AUTI-LPZ0001530
AUTC-LPZ0000137-2024;2024-01-09;2024-01-10;157.43;157.43;AUTOMOTORES;AUTC-LPZ0000005
AUTC-LPZ0001673-2023;2023-11-08;2023-11-09;146.94;146.94;AUTOMOTORES;AUTC-LPZ0000005
AUTC-LPZ0001611-2023;2023-11-03;2023-11-06;251.27;251.27;AUTOMOTORES;AUTC-LPZ0000003
AUTC-LPZ0001611-2023;2023-11-03;2023-11-06;243.48;243.48;AUTOMOTORES;AUTC-LPZ0000003
AUTG-LPZ0000232-2024;2024-08-11;2024-08-23;1103.26;1103.26;AUTOMOTORES;AUTG-LPZ0000083
AUTI-LPZ0000549-2024;2024-08-01;2024-08-01;2113.16;2113.16;AUTOMOTORES;AUTI-LPZ0002543
AUTI-LPZ0000850-2024;2024-10-11;2024-10-11;317.23;317.23;AUTOMOTORES;AUTI-LPZ0001255R1
AUTI-LPZ0000744-2024;2024-10-22;2024-10-22;561.52;561.52;AUTOMOTORES;AUTI-LPZ0001309R1
AUTC-LPZ0000050-2025;2025-01-03;2025-01-04;150.63;150.63;AUTOMOTORES;AUTC-LPZ0000001
AUTC-LPZ0004610-2024;2024-12-28;2024-12-30;93.34;93.34;AUTOMOTORES;AUTC-LPZ0000003
AUTC-LPZ0001706-2024;2024-05-18;2024-05-18;245.75;245.75;AUTOMOTORES;AUTC-LPZ0000001
AUTC-LPZ0004545-2024;2024-12-23;2024-12-23;599.45;599.45;AUTOMOTORES;AUTC-LPZ0000030
AUTC-LPZ0000124-2025;2025-01-10;2025-01-10;387.80;387.80;AUTOMOTORES;AUTC-LPZ0000030
AUTC-LPZ0004403-2024;2024-12-10;2024-12-10;240.47;240.47;AUTOMOTORES;AUTC-LPZ0000003
AUTG-LPZ0000301-2024;2024-11-21;2024-11-21;368.13;368.13;AUTOMOTORES;AUTG-LPZ0000100
AUTC-LPZ0004025-2024;2024-11-09;2024-11-09;132.77;132.77;AUTOMOTORES;AUTC-LPZ0000003
AUTC-LPZ0003489-2024;2024-10-01;2024-10-01;219.54;219.54;AUTOMOTORES;AUTC-LPZ0000003
AUTC-LPZ0004605-2024;2024-12-22;2024-12-28;255.67;255.67;AUTOMOTORES;AUTC-LPZ0000003
AUTG-CBB0000011-2024;2024-12-14;2024-12-18;207.00;207.00;AUTOMOTORES;AUTG-CBB0000006
