id_siniestro,fecha_ocurrencia,fecha_reporte,monto_pagado,monto_reserva,ramo,id_poliza
SIN-001,2023-01-15,2023-01-20,1200,500,Autos,POL-101
SIN-002,2023-01-20,2023-02-10,800,300,Autos,POL-102
SIN-003,2023-02-05,2023-02-15,1500,600,Autos,POL-103
SIN-004,2023-02-10,2023-03-01,1100,400,Autos,POL-104
SIN-005,2023-03-01,2023-03-15,900,200,Autos,POL-105
SIN-006,2023-03-10,2023-04-05,1300,700,Autos,POL-106
SIN-007,2023-04-01,2023-04-10,1000,400,Autos,POL-107
SIN-008,2023-04-15,2023-05-01,1400,600,Autos,POL-108
SIN-009,2023-05-01,2023-05-15,1100,500,Autos,POL-109
SIN-010,2023-05-20,2023-06-01,1200,400,Autos,POL-110
SIN-101,2023-01-10,2023-01-15,5000,2000,Incendio,POL-201
SIN-102,2023-02-12,2023-02-20,4500,1500,Incendio,POL-202
SIN-103,2023-03-05,2023-03-10,6000,3000,Incendio,POL-203
SIN-104,2023-03-20,2023-03-25,5200,2000,Incendio,POL-204
SIN-105,2023-04-10,2023-04-15,4800,1800,Incendio,POL-205
SIN-106,2023-05-01,2023-05-10, la_catastrofe,0,Incendio,POL-206
SIN-106,2023-05-01,2023-05-10,250000,50000,Incendio,POL-206
SIN-107,2023-06-01,2023-06-10,5500,2500,Incendio,POL-207
SIN-108,2023-06-15,2023-06-20,5100,2000,Incendio,POL-208
SIN-109,2023-07-01,2023-07-10,4900,1500,Incendio,POL-209
SIN-201,2023-01-05,2023-01-10,300,100,Vida,POL-301
SIN-202,2023-01-15,2023-01-20,400,200,Vida,POL-302
SIN-203,2023-02-01,2023-02-10,350,150,Vida,POL-303
SIN-204,2023-02-10,2023-02-20,450,200,Vida,POL-304
SIN-205,2023-03-01,2023-03-10,320,100,Vida,POL-305
SIN-206,2023-03-15,2023-03-25,380,150,Vida,POL-306
SIN-207,2023-04-01,2023-04-10,410,200,Vida,POL-307
SIN-208,2023-04-15,2023-04-25,360,150,Vida,POL-308
SIN-209,2023-05-01,2023-05-10,390,100,Vida,POL-309
SIN-210,2023-05-20,2023-05-30,420,200,Vida,POL-310
